,comment_lengths,comments,mags,scores,times
35,941,Don't be sad pm Lee. I can feel u. Now u are having ur personal holiday. Enjoy urself to the fullest. I mean since u and ur Wife both are earning so much. It will be wasted if u can't spent all the money in ur this life time. Thanks to late mr lky who is ur dad in playing a part with the Pioneers Pap from transforming sg from a third world country to a first world. Under ur true leadership. We are beginning deteriorating back into a third world country with all the screw ups. The situation u are facing now can't be worse den how u are helping in transforming sg to a third world. I believe ur siblings are jealous of ur accomplishment. It's hard for ur dad to transform sg from third world to first world. It's even harder for u to transform it from first world to third world. So don't need think so much. Jus enjoy ur holiday. If u are still unhappy. Order a plate of ur fav food mee siam mai hum.  I'm always ur sarporter!! Jiayou!!,7.1,0.1,2017-06-14T04:32:21+0000
36,258,It's all mainly about the house. In my opinion it's a personal family matter which should have been settled privately. Not good for Singapore's reputation to air these personal family affairs publicly. Singapore would be viewed negatively on the world stage.,1.4,0,2017-06-14T01:55:47+0000
37,1364,"Dear Sir... it is hardening to see sibling rivalry broadcasted publicly over a private matter.  Please stay strong.  While I feel for the insistence of HY and WL to honour MM Lee?s death wish? I also felt sad that a piece of history will be lost to future generations. I?m sure that you may have many counsels to advise on the matter on preserving the artefact or to lose it.  Not sure if any of the counsels proposed this to you before but here is my proposal. Let peace be found in your family? allow the physical building be demolished but build a scaled model of the resident and place it on the property.  Keep significant pieces of furniture / structure with historical values on-site for preservation.  (I believe the garden? the whole piece of property will be make public for education and preservation) I believe, we have the technology to capture the entire house (may be with its occupants) before it is demolished so that we?ll be able to provide a virtual tour of the property.  We have done this for your National Museum. At least the future generation will still have the physical garden and its surrounding and not losing all.  With the digital archive of the building, I believe we can do much to preserve this part of history and present it (in many ways) to the future generations. Let peace prevail and family ties be strengthened.  God bless.",4.7,0.2,2017-06-14T04:11:20+0000
38,144,For the people scrolling through the comments: Does anyone else find it significant that LKY removed LHL as an executor and trustee of his will?,0.5,-0.5,2017-06-14T02:36:47+0000
39,174,"PM Lee.... Sir, this a private family matter that should stay within the family. I admire and support your patience and courage in dealing with this matter. Be strong, Sir...",1.5,0.3,2017-06-14T04:11:29+0000
40,766,"Dear PM, 1 thing our founding PM aka your late father did which stopped all complains from all areas is to completely cut off the roots of potential issues.  For instance, when the government from the 1960s to 1980s needed land in Bishan cemetries, there are many Chinese clans associations making huge noise.... but your late father did the unexpected by clearing up your own Hakka-clan cemetries at Ghim Moh area to pave up more lands for housing and setting up an example.... from there on, all Chinese dialects clans kept quiet and give way to clearing up cemetries to pave up more land for housing.....  Same for this case, time to consider demolishing 38 Oxley Road sooner to prevent more unthinkable nightmares on this issue.  Just my 2-cent worth of opinion.",1.8,-0.2,2017-06-14T03:35:07+0000
41,187,"Fret not.. Mr PM Lee.. you and our government will always have the people's support, understanding and appreciation.  Enjoy the rest of your family vacation.  God bless Singapore.  Always",2.6,0.4,2017-06-14T02:35:30+0000
42,148,"I don't mean any harm, but since you are on the subject of meritocracy, what do you think about meritocracy and the reserved presidential elections?",0.1,-0.1,2017-06-14T02:04:26+0000
43,786,"You have my family's and mine fullest support, PM Lee!!! Just ignore their allegations and carry on with what you've always been doing coz Singaporeans know in their hearts and minds, you've always been serving Singapore with your true heart and every thoughts and decisions you make has your concern for every Singaporeans in mind! It is very sad to see siblings doing such hurtful actions to each other. I always have this thought :""if you're not here to help then please disappear and stay out of steering unnecessary trouble!"" We see how being so highly educated and being professionals,  both of them have portrait their self centred and inconsiderate attitude in this family issues that even an uneducated person knows they have to be settled only at home and behind closed doors!",3,-0.2,2017-06-14T02:02:50+0000
44,460,Dear PM we love and support you. We hope that harmony will be restored for you. Anyway I am sure it's all a misunderstanding. Statements that rock the stability of the nation is not very mature and sensible action. We stand behind your decision and hope for a happy and healthy Singapore. Take care of yourself and health. Everything will be fine as disharmonious comments have no place in our country and will disappear when we are always in harmony with all.,3.6,0.2,2017-06-14T03:42:22+0000
45,245,Stay strong sir. Every family dispute is emotionally draining and hurting. I have great respect and admiration for your good self and Mdm Ho. Stay strong and firm on what you believe in. My family and I will be behind you and Mdm Ho all the way.,2.2,0.1,2017-06-14T02:15:25+0000
46,129,"I feel sad to hear this.  I would never thought this could happen to your family.   But, Mr Lee stay strong.  I support you.  ???",1.4,0.2,2017-06-14T01:51:15+0000
47,223,"Why did they do this to you in your absence? You have done and sacrificed so much for Singapore, even at the expense of your own health. You don't deserve such treatment esp from your own siblings.  I am behind you, always.",1.4,-0.2,2017-06-14T02:42:13+0000
48,107,Prime Minister Mr Lee HL  Eldest Brother in a family  A father of his own family  He deserve to be respect.,0.5,0.5,2017-06-14T02:07:46+0000
49,239,???????? ? ????????????????????????  ??????????????????????????????????????????????????????????????????????  An ancient poem used to depict siblings out from the same roots like beans same like bones and flesh should never harm each other.,A,N,2017-06-14T01:59:29+0000
